Dataset,C_max,K,V_max,lambd,sim_weeks,UT_list,weight_span,num_components,number_of_connections
0,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,2
1,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,2
2,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,2
3,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,2
4,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,2
5,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,2
