Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
5,0.5411014388739308,0.5200000000000005,0.14963544750973234,0.0
1,0.6204163282767217,0.375,0.4942584550540019,0.0
9,1.0151282185705808,0.3058823529411807,0.9679469439475739,0.0
0,1.1450389833510761,0.16363636363639245,1.1332861129871503,0.0
6,1.7378225227025654,1.1794871794871522,1.2762590308545327,0.0
4,1.8513154000999177,1.3781512605041861,1.2361504009698177,0.0
7,1.9789958326845722,1.0267857142857082,1.6917847388842624,0.0
3,2.2070635359433086,0.4957983193277755,2.1506541977366638,0.0
8,2.755404416666746,0.19780219780219577,2.7482954335244294,0.0
2,3.3699359806576985,0.125,3.367616889393947,0.0
