Dataset,C_max,K,V_max,lambd,sim_weeks,UT_list,weight_span,num_components,number_of_connections
0,60,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
1,60,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
2,60,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
3,60,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
4,60,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
5,60,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
