Dataset,C_max,K,V_max,lambd,sim_weeks,UT_list,weight_span,num_components,number_of_connections
0,20,50,50,0.1,6,"[10, 15, 20, 25, 30, 35]","[6, 60]",4,5
1,20,50,50,0.1,6,"[10, 15, 20, 25, 30, 35]","[6, 60]",2,5
2,20,50,50,0.1,6,"[10, 15, 20, 25, 30, 35]","[3, 40]",2,3
3,20,50,50,0.1,6,"[20, 22, 24, 30, 40, 80]","[3, 20]",2,5
4,20,50,50,0.1,6,"[20, 22, 24, 30, 40, 80]","[3, 40]",2,2
5,20,50,50,0.1,6,"[10, 15, 20, 25, 30, 35]","[3, 20]",3,3
