Dataset,C_max,K,V_max,lambd,sim_weeks,UT_list,weight_span,num_components,number_of_connections
0,15,50,30,0.1701284837979198,6,"[10, 15, 20, 25, 30, 35]","[6, 60]",2,3
1,15,50,30,0.010388279682208896,6,"[10, 15, 20, 25, 30, 35]","[6, 60]",2,3
2,20,50,50,0.016329051563702755,6,"[20, 22, 24, 30, 40, 80]","[3, 20]",2,4
3,10,50,50,0.044226249803684836,6,"[10, 15, 20, 25, 30, 35]","[3, 40]",3,5
4,20,50,30,0.06426025703064261,6,"[10, 15, 20, 25, 30, 35]","[3, 20]",2,2
5,20,50,30,0.07664856105195472,6,"[20, 22, 24, 30, 40, 80]","[6, 60]",2,5
