Attribute,Standard_Deviation
Win,0.14
Los,0.18
Gam,0.28
Age,0.53
Ste,0.6
FG%,0.76
Tur,1.14
FT%,2.2
Blo,2.35
Per,2.44
3P%,3.09
Tot,4.14
Ass,5.03
Poi,11.09
Total_distance,11.63
