Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
7,-38.278364624953745,2.298245614035073,35.98011901091867,0.0
5,-37.65288196328049,1.740740740740749,35.912141222539745,0.0
2,-34.09269979264292,3.123287671232898,30.969412121410016,0.0
0,-29.563206818398356,0.36448598130840626,29.19872083708995,0.0
3,-25.757713508971953,2.6354166666666625,23.12229684230529,0.0
9,-23.763339424537737,2.52808988764043,21.235249536897307,0.0
8,-16.8590846079473,0.7078651685393273,16.15121943940797,0.0
1,-16.773209316676798,2.2933333333333206,14.479875983343476,0.0
6,-8.694633958850371,3.3399999999999714,5.354633958850399,0.0
4,-6.368620456718436,0.3535353535353476,6.015085103183089,0.0
