Dataset,C_max,K,V_max,lambd,sim_weeks,UT_list,weight_span,num_components,number_of_connections
0,20,50,50,0.1,10,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
1,20,50,50,0.1,10,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
2,20,50,50,0.1,10,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
3,20,50,50,0.1,10,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
4,20,50,50,0.1,10,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
5,20,50,50,0.1,10,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
