Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
5,2.0340505949931202,1.0,1.7712599535336047,0.0
7,2.310161143545913,1.2898550724637587,1.9165381293334267,0.0
2,2.687029729810099,1.4014084507042401,2.292636718535685,0.0
3,6.3030446288209125,0.7999999999999723,6.252069384844365,0.0
6,9.296811952267984,0.595238095238094,9.27773701318431,0.0
0,9.459651402828134,0.7835051546392009,9.42714826104279,0.0
4,12.8293398857299,0.411764705882371,12.822730275981385,0.0
1,15.038290044038696,0.8533333333333424,15.014059733158636,0.0
9,16.66777504482656,0.19277108433733225,16.666660260951694,0.0
8,17.25962954301693,0.40594059405936633,17.25485509056154,0.0
