Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
2,1.372026602121433,1.3225806451613025,0.36501703244314143,0.0
7,1.5559152911160308,0.6236559139784745,1.4254563108311515,0.0
8,2.3187078029994237,2.019230769230772,1.1397863730902031,0.0
5,2.495401570527435,2.085106382978683,1.370897651122192,0.0
4,2.595827479045946,2.3250000000000313,1.1544242292025428,0.0
9,3.6550940304181747,2.915662650602412,2.2042285904780137,0.0
6,3.802477140715182,2.3775510204081804,2.967504599999387,0.0
3,4.4872613997348445,2.0860215053763493,3.9729119230934007,0.0
0,4.736376698879963,4.734939759036139,0.116660670287132,0.0
1,5.097920488835226,4.972602739726016,1.1233945448306706,0.0
