Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
9,2.3232406655443123,0.5245901639344392,2.209158637357941,0.49180327868856466
4,2.664358036563189,0.03571428571428337,2.582404903354103,0.6547619047619193
2,3.1581302608353394,2.0322580645161077,2.405240346671679,0.2419354838708756
3,3.5560436651769027,0.9393939393939714,3.375748230697326,0.6060606060605913
0,4.674909044070556,0.5702479338842803,4.380865018834335,1.5289256198347339
7,4.935710368099409,0.4186046511628021,4.917927102325621,0.0
8,5.207964360380353,2.7064220183486283,4.343986699451698,0.9633027522935969
1,5.3893709504320775,1.0421052631579024,5.270868101489569,0.42105263157888473
6,6.036029663790019,1.26785714285713,5.840096308535458,0.8482142857142421
5,6.181203157883819,3.542857142857132,2.7738032549504794,4.238095238095202
