Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
3,-67.69945012473354,3.827586206896558,26.52703633163011,45.0
9,-51.43205321631176,3.8166666666666638,10.24871988297842,45.0
8,-39.5136287643828,1.0365853658536484,32.635579983894985,5.84146341463417
4,-37.29217391330033,3.666666666666652,32.792173913300296,8.166666666666684
6,-36.415974800210876,2.568493150684949,36.943372060484904,2.0410958904109187
0,-31.69637670928059,5.5625,26.113043375947285,11.145833333333304
1,-29.972474082064462,0.17499999999998295,22.134974082064517,7.662499999999962
5,-26.427741086379864,3.0797101449275344,25.869770071887054,3.637681159420346
7,-15.707712938120466,0.10457516339873152,8.413595291061561,7.189542483660173
2,-13.40598622238246,4.8759689922480725,10.801335059591853,7.480620155038679
