Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
3,1.8505680249459866,1.7804878048781347,0.5044454297867418,0.0
9,2.922521693486651,2.7173913043478635,1.0756010170851908,0.0
5,3.232128862339388,3.061728395061717,1.0356042765651878,0.0
8,3.4255771638257917,3.029702970296995,1.5985865059790543,0.0
4,3.715646731707249,2.3214285714285623,2.9012066494136377,0.0
6,4.283697819389642,3.9887640449437995,1.5619950069085213,0.0
7,4.515626839333546,3.4015151515150706,2.9699461991966913,0.0
1,5.493084404775554,3.0283018867924874,4.582942718432935,0.0
0,5.496281022109601,1.4433962264150608,5.303368024903884,0.0
2,5.803589210672549,3.831578947368418,4.358973559947106,0.0
