Cluster,Total_distance,Parent_cluster,Child_cluster,Age,Gam,Win,Los,Poi,FG%,3P%,FT%,Tot,Ass,Tur,Ste,Blo,Per
38,2.3428483196493204,8,2,1.7300884955751314,0.17699115044247238,0.20353982300884765,0.026548672566376164,0.21681415929203474,0.890707964601769,0.696460176991148,0.8336283185840436,0.22123893805309192,0.035398230088494964,0.16814159292035308,0.026548672566370946,0.04424778761061901,0.5663716814159245
54,2.503362325216725,9,9,1.7860465116279656,0.21395348837210104,0.13488372093022827,0.07906976744186389,0.21860465116279204,0.9916279069767571,0.8716279069767473,0.798604651162802,0.2604651162790763,0.037209302325579396,0.15813953488372018,0.041860465116279444,0.04186046511627939,0.6930232558139549
21,2.552665968169187,6,0,1.7966804979252906,0.18672199170123616,0.16597510373443936,0.020746887966807348,0.2489626556016662,0.8647302904564449,1.0539419087136879,0.914937759336123,0.1991701244813271,0.012448132780083943,0.18257261410788322,0.020746887966806626,0.03734439834024908,0.6265560165975064
30,2.571733415499791,7,2,1.8109243697479123,0.1848739495798215,0.16386554621848848,0.021008403361348682,0.2857142857142825,0.9012605042016752,1.0672268907563094,0.8966386554621302,0.1890756302520935,0.004201680672271113,0.18067226890756027,0.021008403361344047,0.03361344537815117,0.6050420168067212
16,2.9434359002761883,5,1,2.0,0.23616236162362325,0.21771217712176893,0.018450184501842992,0.2767527675276815,0.7804428044280485,1.5398523985239794,0.8904059040591026,0.04428044280443055,0.04428044280442356,0.2472324723247249,0.0036900369003670663,0.06642066420664142,0.8007380073800667
6,5.748158679305792,3,0,2.0409090909089507,0.061363636363638285,0.022727272727261605,0.03863636363635381,0.2318181818181957,0.7556818181819018,4.8881818181817875,1.4329545454545105,0.3863636363636713,0.052272727272723696,0.3522727272727323,0.125,0.1431818181818174,1.409090909090902
14,5.776859615349645,4,4,2.0344827586207685,0.04827586206897516,0.006896551724139277,0.04137931034483522,0.23218390804595757,0.7027586206895897,4.933563218390744,1.449425287356389,0.37701149425288216,0.01839080459770237,0.3540229885057381,0.1333333333333313,0.1425287356321841,1.3908045977011607
5,6.361134101527346,2,2,1.7777777777775015,0.012962962962988822,0.01296296296297239,0.0,0.5407407407407074,0.3096296296297254,5.37259259259272,2.388703703703813,0.3499999999999579,0.049999999999985834,0.3555555555555583,0.14259259259259993,0.1129629629629661,1.4351851851852007
36,6.989321517699542,8,0,0.5500000000000469,0.7916666666666701,0.2916666666666643,0.5,4.016666666666687,1.325833333333378,2.3466666666666667,4.589166666666635,1.25,0.6166666666666691,0.21666666666666234,0.26666666666666927,0.25833333333333086,1.0
50,9.465828681191816,9,5,0.4782608695654247,0.5810276679841522,0.3498023715415006,0.23122529644272927,7.6916996047436825,3.483003952569355,3.7891304347827415,0.14920948616668284,1.6501976284582263,0.2430830039526981,0.4762845849801396,0.019762845849776944,0.3636363636363724,0.21146245059297009
2,9.544004691364965,1,1,0.8890666666679472,0.4261333333331194,0.21973333333335043,0.206400000000027,6.090133333332467,1.4784533333335759,6.7474666666669165,1.1891199999994626,1.5456000000003698,0.7914666666670014,0.2335999999997611,0.12479999999990588,0.1082666666666301,0.8426666666670002
42,9.569785710364547,8,6,0.4042145593867801,0.4808429118774118,0.26628352490420326,0.21455938697317878,7.783524904214474,3.609386973180065,3.7507662835248325,0.13352490421428342,1.7164750957854302,0.2279693486589327,0.4252873563218582,0.09386973180079394,0.35632183908046455,0.2394636015324636
35,9.61253027459112,7,7,0.5063985374768301,0.4424131627056411,0.25228519195614396,0.19012797074951404,7.776965265082268,3.4663619744060057,3.9808043875685186,0.12760511882983394,1.7513711151734093,0.21389396709314568,0.44241316270563935,0.08226691042046053,0.3254113345520948,0.259597806215643
22,9.696198412873704,6,1,0.47508896797126,0.5533807829182189,0.3451957295373913,0.208185053380761,7.784697508897175,3.4656583629892808,4.1583629893239475,0.06352313167238322,1.715302491103369,0.17081850533825182,0.4964412811387158,0.08185053380788698,0.34163701067617835,0.2686832740212388
45,10.779699862138042,9,0,0.4651162790696759,0.8870431893687929,0.5083056478405301,0.37873754152824457,8.09966777408627,1.3478405315615234,5.176744186046545,1.4235880398669565,3.631229235880447,2.0631229235880424,0.5348837209302824,0.3222591362126406,0.019933554817272103,0.8471760797342398
8,11.026633928844888,3,2,0.573969280517872,0.5610347615199611,0.2740501212611006,0.28698464025871173,7.447857720290273,1.69684721099447,7.431366208569305,1.2024252223110636,2.1285367825378714,0.98625707356525,0.044462409054175644,0.1891673403396248,0.2150363783346989,0.42037186742150645
10,11.095230458472974,4,0,0.6413043478268463,0.56884057971007,0.26449275362321223,0.3043478260869903,7.191123188405932,1.7629528985503384,7.753532608695419,1.1859601449268524,2.158514492753529,1.021739130434855,0.038043478260929575,0.23278985507249006,0.16757246376806245,0.27536231884054807
0,11.495047030333811,0,0,0.8567961165042703,0.3588187702262804,0.18729773462784483,0.1715210355985386,9.11650485437032,1.4830906148862013,5.972208737863625,0.3160194174752817,1.8232200647235288,1.9162621359215493,0.3778317152101067,0.050161812297925934,0.024676375404557582,1.7289644012946503
