Dataset,C_max,K,V_max,lambd,sim_weeks,UT_list,weight_span,num_components,number_of_connections
0,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 20]",3.0,5.0
1,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[6, 60]",3.0,5.0
2,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 20]",3.0,5.0
3,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3.0,5.0
4,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3.0,5.0
5,20,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3.0,5.0
