Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
7,0.20759334429335097,0.19387755102042448,0.07420573970536548,0.0
5,0.8818920987997662,0.34188034188035443,0.8129277371090424,0.0
2,0.9326528037264572,0.739130434782588,0.5687947368576154,0.0
4,1.026149658326417,0.45679012345680725,0.9188720827164882,0.0
6,1.0749987366207336,0.3884297520661022,1.0023694984615403,0.0
1,1.1052781753161764,1.0232558139534849,0.41783655182457125,0.0
3,3.1150005223831827,1.2027972027972065,2.8734138482631977,0.0
0,3.2683156164457876,2.6666666666666723,1.8896496653063153,0.0
8,3.94298284209605,2.9358974358974343,2.6320372221826034,0.0
9,4.306527151556173,4.302083333333339,0.19558911049960415,0.0
