Dataset,C_max,K,V_max,lambd,sim_weeks,UT_list,weight_span,num_components,number_of_connections
0,10,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
1,10,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
2,10,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
3,10,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
4,10,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
5,10,50,50,0.1,6,"[20, 20, 20, 20, 20, 20]","[3, 40]",3,5
