Dataset,C_max,K,V_max,lambd,sim_weeks,UT_list,weight_span,num_components,number_of_connections
0,20,50,50,0.1,6,"[10, 15, 20, 25, 30, 35]","[3, 20]",2,2
1,20,50,50,0.1,6,"[5, 10, 15, 20, 25, 30]","[6, 60]",2,2
2,20,50,50,0.1,6,"[10, 15, 20, 25, 30, 35]","[6, 60]",3,2
3,20,50,50,0.1,6,"[10, 15, 20, 25, 30, 35]","[3, 20]",3,2
4,20,50,50,0.1,6,"[10, 15, 20, 25, 30, 35]","[3, 40]",2,2
5,20,50,50,0.1,6,"[10, 15, 20, 25, 30, 35]","[6, 60]",2,2
