Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
5,0.12291978079842555,0.011363636363665108,0.12239338331841054,0.0
9,0.2749563702733144,0.20338983050849002,0.1850231942206264,0.0
6,1.2258096806613288,1.1473684210526391,0.431456926673107,0.0
2,1.3130069459972613,1.0762711864406587,0.7520821587264734,0.0
1,1.322169961502333,1.2406015037593647,0.45721036292836104,0.0
8,1.329346703523039,1.2127659574468113,0.5443908436277098,0.0
0,1.7691383630744917,1.6842105263157912,0.5415583539647209,0.0
7,2.160922863712753,1.1829268292682773,1.8083892665888683,0.0
4,2.268273663177217,1.6847826086956532,1.5187405876251745,0.0
3,2.8190494495749308,2.6974789915966486,0.8189303322282351,0.0
