Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
26,7,3,4,159,36.6,32.6,94.3,21,28,12,9,4,10
27,20,10,10,153,40.4,30.0,84.6,77,24,18,7,9,31
24,18,11,7,151,41.7,37.5,66.7,47,42,20,10,3,42
27,6,2,4,145,39.5,28.3,80.9,18,30,14,4,5,18
28,10,4,6,145,38.0,25.0,84.6,19,61,25,6,2,30
25,21,16,5,140,52.7,0.0,57.5,188,15,17,8,18,55
30,10,4,6,134,46.6,39.3,93.8,65,31,17,12,24,25
28,24,15,9,134,39.0,41.9,77.4,47,11,20,3,8,43
26,5,1,4,133,41.0,31.0,84.4,26,38,26,12,1,13
33,23,14,9,129,58.0,39.3,76.2,27,15,11,11,1,24
25,20,10,10,126,38.7,32.8,65.0,32,11,16,13,5,28
23,20,10,10,123,58.0,0.0,59.7,187,8,21,8,27,48
23,11,5,6,121,42.7,34.1,48.0,56,7,11,10,3,38
27,10,5,5,120,68.1,0.0,59.1,109,3,13,8,28,34
26,10,4,6,119,36.4,26.2,68.2,66,19,10,15,6,14
22,10,4,6,117,45.2,34.3,84.6,19,36,21,4,1,24
33,17,12,5,114,59.4,56.5,85.7,41,5,5,6,9,37
36,21,16,5,114,52.4,39.3,75.0,74,14,13,10,1,34
24,11,5,6,105,52.1,42.9,73.7,32,15,6,7,1,23
36,6,2,4,104,37.9,19.0,88.0,13,13,9,10,0,9
34,10,6,4,104,44.9,25.0,85.7,22,53,18,6,2,15
35,10,4,6,103,46.7,44.4,100.0,48,10,8,9,4,23
38,5,1,4,102,49.4,36.4,94.1,24,8,7,2,3,9
31,22,15,7,101,62.3,0.0,35.7,125,30,19,14,35,72
24,18,11,7,100,46.5,32.4,40.0,101,14,11,23,19,45
31,4,2,2,95,48.7,30.0,100.0,16,29,4,9,0,12
30,7,3,4,95,56.1,48.1,81.8,19,15,8,6,1,16
31,7,3,4,93,50.6,0.0,69.2,43,8,6,4,3,12
26,23,14,9,93,53.6,0.0,43.2,61,8,14,1,7,34
22,14,7,7,93,37.1,37.0,71.4,50,22,12,6,13,37
20,13,7,6,90,43.2,27.8,70.0,63,8,12,8,4,35
27,7,3,4,87,41.3,21.4,82.1,16,18,11,5,0,21
29,10,6,4,86,46.2,50.0,66.7,31,7,6,21,8,20
32,6,2,4,81,43.0,35.5,66.7,12,5,5,1,1,11
30,7,3,4,81,43.4,33.3,80.0,27,30,17,15,0,17
27,6,2,4,79,36.5,21.4,77.8,34,27,17,8,6,19
25,20,15,5,78,35.1,25.8,75.0,15,56,14,1,1,31
26,11,5,6,77,40.0,0.0,63.6,130,53,25,7,11,42
28,11,5,6,76,36.6,36.8,75.0,35,17,5,6,3,21
32,5,1,4,75,46.4,28.6,63.6,23,23,12,6,0,14
22,6,2,4,72,36.7,34.4,81.0,27,18,15,10,5,17
20,7,3,4,72,46.5,0.0,66.7,45,3,12,2,23,24
26,4,0,4,71,46.8,38.9,87.0,13,10,5,2,0,17
27,6,2,4,70,63.2,0.0,37.3,98,11,7,7,16,17
26,21,16,5,70,41.7,38.2,63.6,47,17,13,10,3,36
23,18,8,10,68,38.6,26.9,87.5,27,6,5,13,2,18
22,4,0,4,67,51.9,0.0,32.4,36,0,4,1,6,8
38,10,6,4,67,42.6,42.9,78.3,27,25,7,8,3,25
30,5,1,4,66,54.2,0.0,36.8,70,8,12,4,7,21
25,16,10,6,66,49.1,33.3,80.0,17,16,9,8,0,18
27,10,6,4,66,43.4,36.1,63.6,14,20,8,7,0,3
27,10,4,6,65,62.5,50.0,87.5,32,5,8,3,3,20
29,5,1,4,65,33.3,28.6,78.9,18,6,4,6,0,14
23,6,2,4,62,42.6,23.5,66.7,16,16,7,3,0,12
27,11,5,6,61,52.5,0.0,57.6,75,14,10,2,7,33
29,6,2,4,61,45.7,40.0,60.0,19,4,3,6,2,12
23,4,0,4,61,44.0,44.4,71.4,17,11,2,7,1,7
27,4,2,2,60,37.7,50.0,76.0,35,16,9,3,2,9
