Age,GamesPlayed,Wins,Losses,PointsScored,FG%,3P%,FT%,TotalRebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls
21,6,2,4,49,45.9,42.9,75.0,19,5,4,2,0,13
30,5,1,4,49,40.0,40.9,80.0,19,8,5,8,1,16
37,6,2,4,48,30.4,32.1,91.7,41,42,9,14,1,15
27,16,10,6,47,52.8,0.0,42.9,56,1,6,6,7,31
26,4,0,4,47,40.5,30.8,75.0,10,20,6,2,0,8
22,6,2,4,47,54.3,0.0,100.0,24,0,3,2,1,11
20,6,2,4,47,57.1,0.0,70.0,39,2,6,2,12,19
22,6,2,4,47,42.9,40.0,68.4,8,16,8,6,0,18
20,6,2,4,46,38.7,37.5,84.2,15,11,3,6,1,14
26,6,2,4,43,40.5,0.0,92.9,35,4,5,3,4,15
30,5,1,4,42,40.5,33.3,100.0,13,10,1,2,0,3
26,14,10,4,42,65.4,0.0,72.7,62,9,3,3,4,29
25,6,2,4,41,44.4,47.8,75.0,10,8,5,1,0,7
21,11,6,5,39,63.6,0.0,68.8,9,1,6,0,0,9
30,11,6,5,38,58.3,50.0,66.7,16,5,0,4,5,8
37,7,3,4,38,48.6,0.0,80.0,55,11,8,3,4,26
25,5,1,4,38,42.1,0.0,54.5,35,3,2,1,3,17
21,10,4,6,37,50.0,0.0,55.6,39,5,2,5,4,18
34,14,10,4,37,34.2,25.0,100.0,11,23,5,4,0,8
30,6,2,4,36,57.1,0.0,60.0,37,3,3,7,10,14
26,6,2,4,35,40.5,40.0,33.3,12,15,10,2,1,13
36,6,2,4,35,42.1,0.0,50.0,60,14,3,4,7,18
23,4,0,4,35,62.5,0.0,83.3,22,2,4,2,2,9
23,10,4,6,33,43.3,0.0,33.3,39,12,14,0,5,30
26,10,7,3,31,43.5,40.0,83.3,8,5,3,2,0,8
28,4,0,4,30,50.0,11.1,50.0,20,16,12,1,3,11
30,5,1,4,30,35.1,0.0,66.7,37,4,5,1,1,18
25,3,1,2,29,30.3,16.7,77.8,7,5,3,0,0,7
34,5,1,4,27,37.0,0.0,100.0,18,4,7,0,1,16
31,6,2,4,27,52.9,0.0,64.3,27,1,4,1,6,14
26,6,2,4,27,29.6,23.1,88.9,18,7,2,5,6,15
30,5,1,4,26,46.2,0.0,100.0,9,11,3,3,0,9
24,5,1,4,25,36.0,25.0,100.0,19,9,6,2,0,3
31,11,4,7,25,29.7,30.0,0.0,13,2,5,9,0,19
28,4,1,3,24,58.8,33.3,60.0,10,0,1,2,1,6
31,4,0,4,24,47.1,40.0,57.1,13,6,3,0,0,8
32,4,0,4,24,57.9,0.0,66.7,8,2,1,1,2,13
23,5,1,4,23,60.0,0.0,83.3,13,0,3,5,0,10
22,9,8,1,23,31.0,28.6,100.0,31,3,5,2,2,12
23,6,2,4,22,30.0,16.7,81.8,9,9,5,1,1,5
31,5,1,4,21,20.5,0.0,42.9,28,5,7,4,10,13
22,4,1,3,21,47.4,33.3,33.3,6,4,3,0,0,5
37,6,2,4,20,52.6,0.0,0.0,16,4,3,1,1,20
27,10,4,6,20,29.2,28.6,50.0,10,14,2,4,1,20
25,7,5,2,19,53.8,0.0,83.3,8,1,1,0,0,2
