Dataset,C_max,K,V_max,lambd,sim_weeks,UT_list
0,20,98,30,0.012433158139596757,4,"[5, 10, 15, 20, 25, 30]"
1,20,89,50,0.10080932297203869,4,"[10, 15, 20, 25, 30, 35]"
2,10,27,50,0.1837012754712584,6,"[5, 10, 15, 20, 25, 30]"
3,10,12,50,0.08492924378458498,6,"[20, 22, 24, 30, 40, 80]"
4,10,25,30,0.035351638176006284,4,"[20, 22, 24, 30, 40, 80]"
