Cluster,Total_distance,Connections_diff,Weight_diff,Unit_diff
3,0.8162628292315192,0.4311926605504528,0.6930785639972328,0.0
2,0.9599333064938539,0.654867256637143,0.7018695242712605,0.0
1,1.4194626007508966,1.2527472527472492,0.6674566620123876,0.0
9,1.5344666048292541,1.469879518072279,0.4405019451578198,0.0
7,1.6486948872876321,1.4949494949494753,0.6952128011757885,0.0
0,1.72144669864001,1.693877551020428,0.3068510687738062,0.0
8,2.3915220951985465,2.3716814159291815,0.3074169695364901,0.0
4,2.6956712302059067,2.6794871794871806,0.2949437850229444,0.0
5,2.7412644004159117,2.657407407407396,0.6728420201235288,0.0
6,2.810591004376423,2.8055555555555447,0.16816604464959095,0.0
